elapsed,label,responseCode,threadName,bytes,sentBytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime,Connect
667,HTTP Request,200,Thread Group 1-1,223,286,27,27,667,1,0,0,442
592,HTTP Request,200,Thread Group 1-4,223,286,26,26,592,1,0,0,371
665,HTTP Request,200,Thread Group 1-2,223,286,26,26,665,1,0,0,439
640,HTTP Request,200,Thread Group 1-3,223,286,25,25,640,1,0,0,413
590,HTTP Request,200,Thread Group 1-5,223,286,24,24,590,1,0,0,361
571,HTTP Request,200,Thread Group 1-6,223,286,23,23,571,1,0,0,352
565,HTTP Request,200,Thread Group 1-7,223,286,23,23,564,1,0,0,345
570,HTTP Request,200,Thread Group 1-8,223,286,23,23,570,1,0,0,353
608,HTTP Request,200,Thread Group 1-10,223,286,26,26,608,1,0,0,343
619,HTTP Request,200,Thread Group 1-11,223,286,26,26,618,1,0,0,374
596,HTTP Request,200,Thread Group 1-12,223,286,25,25,596,1,0,0,369
578,HTTP Request,200,Thread Group 1-13,223,286,25,25,578,1,0,0,346
597,HTTP Request,200,Thread Group 1-14,223,286,25,25,597,1,0,0,362
570,HTTP Request,200,Thread Group 1-15,223,286,25,25,570,1,0,0,355
818,HTTP Request,200,Thread Group 1-9,223,286,27,27,818,1,0,0,346
629,HTTP Request,200,Thread Group 1-17,223,286,27,27,629,1,0,0,425
613,HTTP Request,200,Thread Group 1-18,223,286,26,26,613,1,0,0,409
610,HTTP Request,200,Thread Group 1-19,223,286,26,26,610,1,0,0,407
596,HTTP Request,200,Thread Group 1-20,223,286,26,26,596,1,0,0,389
657,HTTP Request,200,Thread Group 1-21,223,286,28,28,657,1,0,0,454
615,HTTP Request,200,Thread Group 1-23,223,286,27,27,615,1,0,0,410
642,HTTP Request,200,Thread Group 1-22,223,286,26,26,642,1,0,0,432
797,HTTP Request,200,Thread Group 1-16,223,286,25,25,797,1,0,0,589
605,HTTP Request,200,Thread Group 1-24,223,286,25,25,605,1,0,0,400
589,HTTP Request,200,Thread Group 1-25,223,286,24,24,589,1,0,0,386
575,HTTP Request,200,Thread Group 1-26,223,286,24,24,575,1,0,0,369
561,HTTP Request,200,Thread Group 1-27,223,286,23,23,561,1,0,0,356
571,HTTP Request,200,Thread Group 1-28,223,286,23,23,571,1,0,0,366
560,HTTP Request,200,Thread Group 1-29,223,286,23,23,560,1,0,0,353
562,HTTP Request,200,Thread Group 1-30,223,286,23,23,562,1,0,0,359
586,HTTP Request,200,Thread Group 1-34,223,286,27,27,586,1,0,0,369
619,HTTP Request,200,Thread Group 1-33,223,286,26,26,619,1,0,0,407
670,HTTP Request,200,Thread Group 1-31,223,286,26,26,670,1,0,0,463
643,HTTP Request,200,Thread Group 1-32,223,286,26,26,643,1,0,0,431
577,HTTP Request,200,Thread Group 1-35,223,286,24,24,577,1,0,0,370
571,HTTP Request,200,Thread Group 1-36,223,286,23,23,571,1,0,0,359
585,HTTP Request,200,Thread Group 1-37,223,286,24,24,585,1,0,0,381
566,HTTP Request,200,Thread Group 1-38,223,286,23,23,566,1,0,0,358
546,HTTP Request,200,Thread Group 1-39,223,286,22,22,546,1,0,0,342
558,HTTP Request,200,Thread Group 1-40,223,286,23,23,558,1,0,0,356
548,HTTP Request,200,Thread Group 1-41,223,286,23,23,548,1,0,0,345
561,HTTP Request,200,Thread Group 1-42,223,286,23,23,561,1,0,0,352
565,HTTP Request,200,Thread Group 1-43,223,286,23,23,565,1,0,0,357
546,HTTP Request,200,Thread Group 1-44,223,286,22,22,546,1,0,0,342
549,HTTP Request,200,Thread Group 1-45,223,286,23,23,549,1,0,0,346
543,HTTP Request,200,Thread Group 1-46,223,286,22,22,543,1,0,0,342
556,HTTP Request,200,Thread Group 1-47,223,286,23,23,556,1,0,0,346
562,HTTP Request,200,Thread Group 1-48,223,286,23,23,562,1,0,0,351
570,HTTP Request,200,Thread Group 1-49,223,286,23,23,570,1,0,0,354
556,HTTP Request,200,Thread Group 1-50,223,286,23,23,556,1,0,0,350
562,HTTP Request,200,Thread Group 1-51,223,286,23,23,562,1,0,0,356
583,HTTP Request,200,Thread Group 1-54,223,286,26,26,583,1,0,0,341
633,HTTP Request,200,Thread Group 1-52,223,286,26,26,633,1,0,0,347
617,HTTP Request,200,Thread Group 1-53,223,286,24,24,617,1,0,0,346
604,HTTP Request,200,Thread Group 1-55,223,286,25,25,604,1,0,0,356
579,HTTP Request,200,Thread Group 1-56,223,286,25,25,579,1,0,0,344
566,HTTP Request,200,Thread Group 1-57,223,286,23,23,566,1,0,0,357
556,HTTP Request,200,Thread Group 1-58,223,286,23,23,556,1,0,0,352
550,HTTP Request,200,Thread Group 1-59,223,286,23,23,550,1,0,0,345
548,HTTP Request,200,Thread Group 1-60,223,286,22,22,548,1,0,0,347
562,HTTP Request,200,Thread Group 1-61,223,286,23,23,562,1,0,0,354
567,HTTP Request,200,Thread Group 1-62,223,286,23,23,567,1,0,0,361
564,HTTP Request,200,Thread Group 1-63,223,286,23,23,564,1,0,0,359
558,HTTP Request,200,Thread Group 1-64,223,286,23,23,558,1,0,0,347
564,HTTP Request,200,Thread Group 1-66,223,286,24,24,564,1,0,0,343
594,HTTP Request,200,Thread Group 1-65,223,286,23,23,594,1,0,0,367
