timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.66591E+12,237,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,992,161,10,10,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,237,0,10
1.66591E+12,217,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,217,0,6
1.66591E+12,218,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,218,0,5
1.66591E+12,216,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,216,0,3
1.66591E+12,217,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,217,0,3
1.66591E+12,219,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,219,0,4
1.66591E+12,216,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,216,0,15
1.66591E+12,216,HTTP Request,200,OK,Thread Group 1-8,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,216,0,6
1.66591E+12,222,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,222,0,3
1.66591E+12,219,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,219,0,5
1.66591E+12,217,HTTP Request,200,OK,Thread Group 1-11,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,217,0,3
1.66591E+12,216,HTTP Request,200,OK,Thread Group 1-12,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,216,0,7
1.66591E+12,218,HTTP Request,200,OK,Thread Group 1-13,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,218,0,5
1.66591E+12,214,HTTP Request,200,OK,Thread Group 1-14,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,214,0,4
1.66591E+12,216,HTTP Request,200,OK,Thread Group 1-15,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,216,0,4
1.66591E+12,216,HTTP Request,200,OK,Thread Group 1-16,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,216,0,4
1.66591E+12,216,HTTP Request,200,OK,Thread Group 1-17,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,216,0,4
1.66591E+12,217,HTTP Request,200,OK,Thread Group 1-18,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,217,0,4
1.66591E+12,215,HTTP Request,200,OK,Thread Group 1-19,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,215,0,4
1.66591E+12,214,HTTP Request,200,OK,Thread Group 1-20,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,214,0,4
1.66591E+12,218,HTTP Request,200,OK,Thread Group 1-21,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,218,0,6
1.66591E+12,216,HTTP Request,200,OK,Thread Group 1-22,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,215,0,6
1.66591E+12,216,HTTP Request,200,OK,Thread Group 1-23,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,216,0,7
1.66591E+12,217,HTTP Request,200,OK,Thread Group 1-24,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,217,0,3
1.66591E+12,218,HTTP Request,200,OK,Thread Group 1-25,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,218,0,5
1.66591E+12,214,HTTP Request,200,OK,Thread Group 1-26,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,214,0,4
1.66591E+12,214,HTTP Request,200,OK,Thread Group 1-27,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,214,0,5
1.66591E+12,218,HTTP Request,200,OK,Thread Group 1-28,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,218,0,4
1.66591E+12,215,HTTP Request,200,OK,Thread Group 1-29,text,TRUE,,992,161,9,9,http://todolistaws-env.eba-5pfmwbup.us-east-1.elasticbeanstalk.com/,215,0,9
