elapsed,label,responseCode,threadName,bytes,sentBytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime,Connect
889,HTTP Request,200,Thread Group 1-3,1091,272,47,47,337,1,0,0,205
337,HTTP Request-0,301,Thread Group 1-3,145,136,47,47,337,1,0,0,205
552,HTTP Request-1,200,Thread Group 1-3,946,136,47,47,552,1,0,0,408
857,HTTP Request,200,Thread Group 1-5,1091,272,46,46,309,1,0,0,167
309,HTTP Request-0,301,Thread Group 1-5,145,136,46,46,309,1,0,0,167
547,HTTP Request-1,200,Thread Group 1-5,946,136,46,46,547,1,0,0,412
804,HTTP Request,200,Thread Group 1-8,1091,272,46,46,265,1,0,0,128
265,HTTP Request-0,301,Thread Group 1-8,145,136,46,46,265,1,0,0,128
539,HTTP Request-1,200,Thread Group 1-8,946,136,46,46,539,1,0,0,408
885,HTTP Request,200,Thread Group 1-4,1091,272,45,45,323,1,0,0,184
323,HTTP Request-0,301,Thread Group 1-4,145,136,45,45,323,1,0,0,184
562,HTTP Request-1,200,Thread Group 1-4,946,136,45,45,562,1,0,0,423
847,HTTP Request,200,Thread Group 1-6,1091,272,44,44,278,1,0,0,144
278,HTTP Request-0,301,Thread Group 1-6,145,136,44,44,278,1,0,0,144
569,HTTP Request-1,200,Thread Group 1-6,946,136,44,44,569,1,0,0,429
934,HTTP Request,200,Thread Group 1-2,1091,272,43,43,368,1,0,0,227
368,HTTP Request-0,301,Thread Group 1-2,145,136,43,43,368,1,0,0,227
565,HTTP Request-1,200,Thread Group 1-2,946,136,43,43,565,1,0,0,426
835,HTTP Request,200,Thread Group 1-7,1091,272,42,42,267,1,0,0,128
267,HTTP Request-0,301,Thread Group 1-7,145,136,42,42,267,1,0,0,128
567,HTTP Request-1,200,Thread Group 1-7,946,136,42,42,567,1,0,0,429
962,HTTP Request,200,Thread Group 1-1,1091,272,41,41,386,1,0,0,248
386,HTTP Request-0,301,Thread Group 1-1,145,136,41,41,386,1,0,0,248
576,HTTP Request-1,200,Thread Group 1-1,946,136,41,41,576,1,0,0,418
815,HTTP Request,200,Thread Group 1-9,1091,272,41,41,263,1,0,0,127
263,HTTP Request-0,301,Thread Group 1-9,145,136,41,41,263,1,0,0,127
551,HTTP Request-1,200,Thread Group 1-9,946,136,41,41,551,1,0,0,409
810,HTTP Request,200,Thread Group 1-10,1091,272,41,41,263,1,0,0,127
263,HTTP Request-0,301,Thread Group 1-10,145,136,41,41,263,1,0,0,127
546,HTTP Request-1,200,Thread Group 1-10,946,136,41,41,546,1,0,0,404
809,HTTP Request,200,Thread Group 1-11,1091,272,40,40,262,1,0,0,128
262,HTTP Request-0,301,Thread Group 1-11,145,136,40,40,262,1,0,0,128
547,HTTP Request-1,200,Thread Group 1-11,946,136,40,40,547,1,0,0,410
821,HTTP Request,200,Thread Group 1-12,1091,272,39,39,270,1,0,0,131
271,HTTP Request-0,301,Thread Group 1-12,145,136,39,39,270,1,0,0,131
550,HTTP Request-1,200,Thread Group 1-12,946,136,39,39,550,1,0,0,415
809,HTTP Request,200,Thread Group 1-13,1091,272,38,38,267,1,0,0,128
267,HTTP Request-0,301,Thread Group 1-13,145,136,38,38,267,1,0,0,128
541,HTTP Request-1,200,Thread Group 1-13,946,136,38,38,541,1,0,0,407
802,HTTP Request,200,Thread Group 1-14,1091,272,37,37,257,1,0,0,124
257,HTTP Request-0,301,Thread Group 1-14,145,136,37,37,257,1,0,0,124
544,HTTP Request-1,200,Thread Group 1-14,946,136,37,37,544,1,0,0,410
821,HTTP Request,200,Thread Group 1-15,1091,272,36,36,258,1,0,0,129
258,HTTP Request-0,301,Thread Group 1-15,145,136,36,36,258,1,0,0,129
562,HTTP Request-1,200,Thread Group 1-15,946,136,36,36,562,1,0,0,423
812,HTTP Request,200,Thread Group 1-16,1091,272,35,35,262,1,0,0,132
262,HTTP Request-0,301,Thread Group 1-16,145,136,35,35,262,1,0,0,132
550,HTTP Request-1,200,Thread Group 1-16,946,136,35,35,550,1,0,0,414
793,HTTP Request,200,Thread Group 1-17,1091,272,34,34,260,1,0,0,130
260,HTTP Request-0,301,Thread Group 1-17,145,136,34,34,260,1,0,0,130
532,HTTP Request-1,200,Thread Group 1-17,946,136,34,34,532,1,0,0,400
811,HTTP Request,200,Thread Group 1-18,1091,272,33,33,263,1,0,0,132
263,HTTP Request-0,301,Thread Group 1-18,145,136,33,33,263,1,0,0,132
548,HTTP Request-1,200,Thread Group 1-18,946,136,33,33,548,1,0,0,412
805,HTTP Request,200,Thread Group 1-19,1091,272,32,32,263,1,0,0,133
