elapsed,label,responseCode,threadName,bytes,sentBytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime,Connect
862,HTTP Request,200,Thread Group 1-1,1091,272,35,35,325,1,0,0,188
325,HTTP Request-0,301,Thread Group 1-1,145,136,35,35,325,1,0,0,188
536,HTTP Request-1,200,Thread Group 1-1,946,136,35,35,536,1,0,0,396
860,HTTP Request,200,Thread Group 1-2,1091,272,35,35,309,1,0,0,167
309,HTTP Request-0,301,Thread Group 1-2,145,136,35,35,309,1,0,0,167
551,HTTP Request-1,200,Thread Group 1-2,946,136,35,35,551,1,0,0,413
823,HTTP Request,200,Thread Group 1-4,1091,272,35,35,272,1,0,0,132
272,HTTP Request-0,301,Thread Group 1-4,145,136,35,35,272,1,0,0,132
550,HTTP Request-1,200,Thread Group 1-4,946,136,35,35,550,1,0,0,405
853,HTTP Request,200,Thread Group 1-3,1091,272,34,34,282,1,0,0,140
282,HTTP Request-0,301,Thread Group 1-3,145,136,34,34,282,1,0,0,140
571,HTTP Request-1,200,Thread Group 1-3,946,136,34,34,571,1,0,0,413
813,HTTP Request,200,Thread Group 1-5,1091,272,33,33,270,1,0,0,131
270,HTTP Request-0,301,Thread Group 1-5,145,136,33,33,270,1,0,0,131
543,HTTP Request-1,200,Thread Group 1-5,946,136,33,33,543,1,0,0,406
807,HTTP Request,200,Thread Group 1-6,1091,272,33,33,272,1,0,0,130
272,HTTP Request-0,301,Thread Group 1-6,145,136,33,33,272,1,0,0,130
535,HTTP Request-1,200,Thread Group 1-6,946,136,33,33,535,1,0,0,404
810,HTTP Request,200,Thread Group 1-7,1091,272,33,33,270,1,0,0,131
270,HTTP Request-0,301,Thread Group 1-7,145,136,33,33,270,1,0,0,131
540,HTTP Request-1,200,Thread Group 1-7,946,136,33,33,540,1,0,0,405
826,HTTP Request,200,Thread Group 1-8,1091,272,34,34,268,1,0,0,129
268,HTTP Request-0,301,Thread Group 1-8,145,136,34,34,268,1,0,0,129
557,HTTP Request-1,200,Thread Group 1-8,946,136,34,34,557,1,0,0,415
822,HTTP Request,200,Thread Group 1-9,1091,272,33,33,276,1,0,0,131
276,HTTP Request-0,301,Thread Group 1-9,145,136,33,33,276,1,0,0,131
797,HTTP Request,200,Thread Group 1-10,1091,272,33,33,267,1,0,0,130
546,HTTP Request-1,200,Thread Group 1-9,946,136,33,33,546,1,0,0,406
